name,type,contract,tier,cores,pcores,mem,region,price,ACU,SSD,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded,OfferName,_id,price_USD,price_EUR,price_GBP,price_AUD,price_JPY,price_CAD,price_DKK,price_CHF,price_SEK,price_IDR,price_INR,burstable
a1,vm,payg,standard,1,1,1.75,australia-east,0.071,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-australia-east-payg,0.071,0.0598743,0.052916938999999996,0.09043269999999999,7.241999999999999,0.08632889999999999,0.4468314,0.0641201,0.5588552,969.8599999999999,4.692833749999999,No
a1,vm,payg,standard,1,1,1.75,australia-southeast,0.071,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-australia-southeast-payg,0.071,0.0598743,0.052916938999999996,0.09043269999999999,7.241999999999999,0.08632889999999999,0.4468314,0.0641201,0.5588552,969.8599999999999,4.692833749999999,No
a1,vm,payg,standard,1,1,1.75,brazil-south,0.08,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-brazil-south-payg,0.08,0.06746400000000001,0.05962472,0.101896,8.16,0.097272,0.503472,0.072248,0.629696,1092.8,5.2877,No
a1,vm,payg,standard,1,1,1.75,canada-central,0.061,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-canada-central-payg,0.061,0.0514413,0.045463849,0.0776957,6.2219999999999995,0.0741699,0.3838974,0.0550891,0.4801432,833.26,4.03187125,No
a1,vm,payg,standard,1,1,1.75,canada-east,0.056,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-canada-east-payg,0.056,0.047224800000000004,0.041737304,0.07132720000000001,5.712,0.0680904,0.35243040000000003,0.0505736,0.4407872,764.96,3.70139,No
a1,vm,payg,standard,1,1,1.75,central-india,0.066,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-central-india-payg,0.066,0.05565780000000001,0.049190394000000005,0.0840642,6.732,0.0802494,0.4153644,0.0596046,0.5194992,901.5600000000001,4.3623525,No
a1,vm,payg,standard,1,1,1.75,europe-north,0.06,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-europe-north-payg,0.06,0.050598000000000004,0.04471854,0.076422,6.12,0.07295399999999999,0.377604,0.054186,0.47227199999999997,819.6,3.965775,No
a1,vm,payg,standard,1,1,1.75,europe-west,0.06,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-europe-west-payg,0.06,0.050598000000000004,0.04471854,0.076422,6.12,0.07295399999999999,0.377604,0.054186,0.47227199999999997,819.6,3.965775,No
a1,vm,payg,standard,1,1,1.75,germany-central,0.062,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-germany-central-payg,0.062,0.0522846,0.046209158,0.07896940000000001,6.324,0.0753858,0.3901908,0.0559922,0.4880144,846.92,4.0979675,No
a1,vm,payg,standard,1,1,1.75,germany-northeast,0.062,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-germany-northeast-payg,0.062,0.0522846,0.046209158,0.07896940000000001,6.324,0.0753858,0.3901908,0.0559922,0.4880144,846.92,4.0979675,No
a1,vm,payg,standard,1,1,1.75,japan-east,0.081,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-japan-east-payg,0.081,0.0683073,0.060370029,0.1031697,8.262,0.0984879,0.5097654,0.0731511,0.6375672,1106.46,5.35379625,No
a1,vm,payg,standard,1,1,1.75,japan-west,0.073,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-japan-west-payg,0.073,0.0615609,0.054407556999999995,0.0929801,7.446,0.0887607,0.4594182,0.0659263,0.5745975999999999,997.18,4.82502625,No
a1,vm,payg,standard,1,1,1.75,korea-central,0.066,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-korea-central-payg,0.066,0.05565780000000001,0.049190394000000005,0.0840642,6.732,0.0802494,0.4153644,0.0596046,0.5194992,901.5600000000001,4.3623525,No
a1,vm,payg,standard,1,1,1.75,korea-south,0.06,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-korea-south-payg,0.06,0.050598000000000004,0.04471854,0.076422,6.12,0.07295399999999999,0.377604,0.054186,0.47227199999999997,819.6,3.965775,No
a1,vm,payg,standard,1,1,1.75,south-india,0.059,100,No,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,-2,-2,-2,No,linux-a1-standard,linux-a1-standard-south-india-payg,0.059,0.0497547,0.043973230999999995,0.0751483,6.018,0.0717381,0.3713106,0.0532829,0.46440079999999995,805.9399999999999,3.8996787499999996,No
