Name,Type,PricePerHourPAYG,PricePerHourLP,ACU,CoreFactor,CoreFactorIndex,SSD,NumberOfCores,MemoryInMB,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded
LargeInstances_S576m,LI,Unknown,Unknown,Unknown,Unknown, Unknown ,HANA,576,12582912, Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown ,Unknown,Unknown,Unknown,Not Supported,Not Supported,Supported,Yes
LargeInstances_S72,LI,Unknown,Unknown,Unknown,Unknown, Unknown ,HANA,72,786432, Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown ,Unknown,Unknown,Unknown,Not Supported,Not Supported,Supported,Yes
LargeInstances_S72m,LI,Unknown,Unknown,Unknown,Unknown, Unknown ,HANA,72,1572864, Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown ,Unknown,Unknown,Unknown,Not Supported,Not Supported,Supported,Yes
LargeInstances_S768m,LI,Unknown,Unknown,Unknown,Unknown, Unknown ,HANA,768,16777216, Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown ,3000,46,23,Not Supported,Not Supported,Supported,Yes
LargeInstances_S920m,LI,Unknown,Unknown,Unknown,Unknown, Unknown ,HANA,920,20971520, Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown , Unknown ,6000,93,46,Not Supported,Not Supported,Supported,Yes
Standard_A0,VM,0.017,Not Available,86,86, 0.20 ,No,1,768,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,Not Supported,Not Supported,Not Supported,No
Standard_A1,VM,0.051,0.009,100,100, 0.51 ,No,1,1792,2,500,2,8192,1000,120,1000,120,71680,70,24000,375,187,Not Supported,Not Supported,Not Supported,No
Standard_A1_v2,VM,0.034,0.006,100,100, 0.34 ,No,1,2048,2,250,2,8192,1000,120,1000,120,10240,10,48000,750,375,Not Supported,Not Supported,Not Supported,No
Standard_A10,VM,0.757,0.119,225,1800, 0.42 ,No,8,57344,2,unknown,32,131072,16000,1920,16000,1920,391168,382,6000,93,46,11000,Not Supported,Not Supported,No
Standard_A11,VM,1.513,0.237,225,3600, 0.42 ,No,16,114688,4,unknown,64,262144,32000,3840,32000,3840,391168,382,12000,187,93,22000,Not Supported,Not Supported,No
